"ID","Work Item Type","Title","Objective/Description","Test Step","Step Action","Step Expected","Area Path","Assigned To","State","QA Status","QA Comment","Source HU ID","Coverage Tag","Technique/Heuristic","Origin"
"","Test Case","AC1 - Pago exitoso con QR dinamico y beneficio Apross","Validar que un pago con QR Dinamico cumpliendo todas las precondiciones aplica el reintegro Apross y finaliza en exito.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Equivalence Partitioning","Heuristic"
"","","","","1","Configurar usuario afiliado activo, prestador habilitado, saldo suficiente y menos de 3 reintegros usados en el mes.","Las precondiciones del beneficio Apross quedan cumplidas.","","","","PENDING","","8547","AC1","",""
"","","","","2","Escanear un QR Dinamico desde Home Bezza y procesar la validacion AprossService.aprossBenefit.","Se muestra la pantalla 9.1.1 con el mensaje de Reintegro Apross.","","","","PENDING","","8547","AC1","",""
"","","","","3","Presionar Pagar y completar el flujo de virtualizacion.","La operacion finaliza en pantalla 9.1.2 - Exito con el mensaje 'Reintegro en 48hs sujeto a aprobacion de apross. Ver Terminos y Condiciones.'","","","","PENDING","","8547","AC1","",""
"","","","","4","Consultar el contador de beneficios luego de la operacion.","El contador se actualiza con remaining = 3 - usos - 1.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - Primer reintegro del mes (contador en 0 usos)","Validar la actualizacion del contador cuando el usuario realiza su primer reintegro del mes.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Boundary Value Analysis","Heuristic"
"","","","","1","Configurar usuario con 0 reintegros usados en el mes y demas precondiciones de AC1 cumplidas.","Precondiciones cumplidas.","","","","PENDING","","8547","AC1","",""
"","","","","2","Escanear QR Dinamico y completar el pago hasta Exito.","El pago finaliza en pantalla 9.1.2 - Exito.","","","","PENDING","","8547","AC1","",""
"","","","","3","Consultar el contador de beneficios.","El contador queda en remaining = 2.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - Ultimo reintegro disponible en el mes (2 usos previos)","Validar el contador en el limite superior de la clase valida (2 reintegros ya usados).","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Boundary Value Analysis","Heuristic"
"","","","","1","Configurar usuario con 2 reintegros usados en el mes y demas precondiciones de AC1 cumplidas.","Precondiciones cumplidas (usuario aun dentro del tope de RULE_APROSS).","","","","PENDING","","8547","AC1","",""
"","","","","2","Escanear QR Dinamico y completar el pago hasta Exito.","El pago finaliza en pantalla 9.1.2 - Exito.","","","","PENDING","","8547","AC1","",""
"","","","","3","Consultar el contador de beneficios.","El contador queda en remaining = 0.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - Secuencia de pantallas del flujo exitoso","Validar que la transicion de pantallas del flujo de pago con QR Dinamico sigue el orden documentado.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","State Transition Testing","Heuristic"
"","","","","1","Desde Home Bezza, escanear un QR Dinamico con precondiciones de AC1 cumplidas.","Se transiciona a la pantalla 9.1.1 con el mensaje de Reintegro Apross.","","","","PENDING","","8547","AC1","",""
"","","","","2","Presionar Pagar.","Se transiciona a la pantalla 9.1.2 - Exito, sin pantallas intermedias no documentadas.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - Doble tap en Pagar no duplica el reintegro","Validar que presionar Pagar dos veces seguidas no genera una doble transaccion ni un doble descuento del contador.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Error Guessing","Heuristic"
"","","","","1","Con la pantalla 9.1.1 visible y precondiciones de AC1 cumplidas, presionar Pagar dos veces de forma rapida y consecutiva.","Se ejecuta una unica transaccion de pago.","","","","PENDING","","8547","AC1","",""
"","","","","2","Consultar el contador de beneficios luego de la operacion.","El contador se descuenta una sola vez (remaining = 3 - usos - 1), sin duplicacion.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - Perdida de conectividad durante la virtualizacion del pago","Validar que una interrupcion de red durante la virtualizacion no deja el contador en un estado inconsistente.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Error Guessing","Heuristic"
"","","","","1","Con precondiciones de AC1 cumplidas, presionar Pagar e interrumpir la conexion de red durante la virtualizacion.","El sistema no confirma el pago mientras la red esta interrumpida.","","","","PENDING","","8547","AC1","",""
"","","","","2","Restablecer la conexion de red y verificar el estado de la operacion y del contador.","El contador no queda descontado sin un pago confirmado, ni el pago confirmado sin el descuento correspondiente; el usuario recibe alguna indicacion de reintento o fallo.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - QR Dinamico invalido, corrupto o expirado","Validar que el sistema no inicia el flujo de reintegro Apross ante un QR no procesable.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Error Guessing","Heuristic"
"","","","","1","Escanear un QR Dinamico invalido, corrupto o expirado desde Home Bezza.","El sistema no muestra la pantalla 9.1.1 con el mensaje de Reintegro Apross ni inicia la validacion de AprossService.aprossBenefit.","","","","PENDING","","8547","AC1","",""
"","Test Case","Riesgo - Renovacion del contador de reintegros en el cambio de mes","Explorar si el contador de reintegros se renueva correctamente al cambiar de mes.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","N/A (riesgo derivado de RULE_APROSS)","Exploratory/LLM","Exploratory"
"","","","","1","Verificar el contador de un usuario con 3 reintegros usados justo antes del cambio de mes.","El contador refleja 0 disponibles del mes que termina.","","","","PENDING","","8547","N/A (riesgo derivado de RULE_APROSS)","",""
"","","","","2","Verificar el contador del mismo usuario justo despues del cambio de mes e intentar un nuevo pago con QR Dinamico.","A validar: el contador deberia mostrar 3 disponibles en el nuevo mes.","","","","PENDING","","8547","N/A (riesgo derivado de RULE_APROSS)","",""
"","Test Case","AC1 - Reutilizacion del mismo QR Dinamico tras un pago exitoso","Explorar si reescanear el mismo QR ya utilizado genera un reintegro duplicado.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Exploratory/LLM","Exploratory"
"","","","","1","Completar un pago exitoso con un QR Dinamico especifico.","El pago finaliza en Exito y el contador se descuenta una vez.","","","","PENDING","","8547","AC1","",""
"","","","","2","Volver a escanear el mismo QR Dinamico inmediatamente despues.","A validar: el sistema no deberia aplicar un segundo reintegro sobre el mismo QR/transaccion.","","","","PENDING","","8547","AC1","",""
"","Test Case","AC1 - Abandono del flujo antes de presionar Pagar","Explorar si el contador se ve afectado cuando el usuario abandona el flujo antes de confirmar el pago.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","AC1","Exploratory/LLM","Exploratory"
"","","","","1","Con la pantalla 9.1.1 visible (mensaje de Reintegro Apross), salir sin presionar Pagar (boton atras o cierre de la app).","A validar: el contador de reintegros no debe decrementarse.","","","","PENDING","","8547","AC1","",""
"","Test Case","Riesgo - Perdida de sesion durante la espera de aprobacion Apross (48hs)","Explorar si el estado final del reintegro se refleja correctamente pese a eventos intermedios de sesion/dispositivo.","","","","Soluciones\Canales\PRD-Billetera\SCT-Billetera","","Design","PENDING","","8547","N/A (etapa posterior a AC1)","Exploratory/LLM","Exploratory"
"","","","","1","Completar un pago exitoso con reintegro pendiente de aprobacion.","El reintegro queda en estado pendiente por 48hs.","","","","PENDING","","8547","N/A (etapa posterior a AC1)","",""
"","","","","2","Cerrar sesion o desinstalar la app antes de que se resuelva la aprobacion y volver a ingresar luego.","A validar: el estado final (aprobado/rechazado) debe reflejarse correctamente para el usuario.","","","","PENDING","","8547","N/A (etapa posterior a AC1)","",""
